avg_response_time,median_response_time,max_response_time,min_response_time,std_response_time,total_time,hesitation_count,hesitation_ratio,fast_answer_count,slow_answer_count,label
4.10177020298533,4.017341056397024,7.020666609148438,2.24394114635168,1.4211366870095696,32.81416162388264,1,0.125,2,1,Balanced
2.5557678513865274,1.8862816665201418,5.415347730636173,0.7,1.4895957693855388,20.44614281109222,1,0.125,5,0,Impulsive
6.274510591608788,6.462236132600047,8.53883530587523,4.2733302105215145,1.4086402947154495,50.196084732870304,6,0.75,0,5,Impulsive
4.964503334410042,5.036796492922821,7.00170722236245,2.90923213264807,1.1924943836114466,39.71602667528034,4,0.5,1,2,Balanced
4.795871495527212,3.9385671262061113,10.489187036888028,1.3671804789534674,2.6208103575125428,38.3669719642177,3,0.375,1,3,Balanced
3.7880524975770324,3.5558502865837163,5.4549493320511315,2.928386245400912,0.851908889734876,30.30441998061626,1,0.125,1,0,Impulsive
3.238887729235043,3.2521547334208765,4.306013227910544,1.7689610589212428,0.6873017128010166,25.911101833880345,0,0.0,2,0,Impulsive
2.849067085298681,2.857387343176917,4.298017295266623,0.7418399427679523,1.1422808477920094,22.792536682389446,0,0.0,4,0,Analytical
6.55476497232641,6.223777164706167,10.27329511709808,4.1257207473404875,1.930419512703339,52.43811977861128,6,0.75,0,4,Analytical
5.336560048859388,4.6805959313667715,9.886279327208669,1.5550932997445928,2.4394596914436684,42.692480390875104,3,0.375,1,2,Balanced
5.44828182692051,5.76096019230715,7.171783830089207,2.2572576026820683,1.5639737555930733,43.58625461536408,5,0.625,1,4,Balanced
3.789410860416157,3.225133470664444,6.417178739711484,2.345030100627815,1.5034080791560709,30.315286883329257,2,0.25,4,1,Impulsive
3.6345329318452517,3.3754866654551057,6.183806462784349,2.527724674813669,1.164010429102907,29.076263454762014,1,0.125,3,1,Balanced
4.891918493703068,5.431998659434972,6.341132834790714,1.131469914699458,1.5685236132704488,39.135347949624546,5,0.625,1,1,Balanced
6.317978783470103,6.0270385521841,9.302986284476358,3.252915285722658,1.7848526128298288,50.543830267760825,7,0.875,0,4,Analytical
5.125160794167238,5.258098866840966,7.973893430556162,1.441509032156827,1.8587359567994428,41.0012863533379,5,0.625,1,3,Balanced
5.584772520957838,4.841603759259776,9.014648135370368,3.930554739424177,1.809020414831258,44.6781801676627,4,0.5,0,2,Analytical
6.690095010147077,6.217101463494522,10.006999831950232,4.775067022414815,1.579442470423632,53.52076008117662,7,0.875,0,4,Analytical
5.93040800735816,5.980373148910887,7.541343346046731,4.009813065003022,1.1215428212294998,47.44326405886528,6,0.75,0,4,Balanced
6.034358053692813,6.095319903050655,9.52180560949939,3.4824018491417497,1.8565960275579483,48.274864429542504,5,0.625,0,4,Analytical
5.992762997851457,5.786404081886884,8.081522013773483,4.5104666364126045,1.1411358915733931,47.94210398281166,6,0.75,0,4,Analytical
3.790015780243608,3.6449106211665123,7.5339568490120215,1.773421708816762,1.7066784414560787,30.320126241948863,1,0.125,3,1,Impulsive
2.81986491493598,3.1952597201649446,3.9558027519439607,0.7,0.9909526902038959,22.55891931948784,0,0.0,4,0,Impulsive
3.8327458157395595,3.3204943481250595,7.391716374635781,1.0862429875559734,2.087573810598599,30.661966525916476,2,0.25,4,2,Impulsive
3.373050930592104,3.665163486023254,4.726315541452875,0.7,1.2125283427081943,26.98440744473683,0,0.0,3,0,Impulsive
5.068906966837062,5.135713198610672,6.860333378456927,2.8174838659244683,1.2930120670080487,40.5512557346965,4,0.5,1,2,Balanced
4.73078974594485,4.564898550647875,8.233178795927898,1.0291564908940187,2.074216947373302,37.8463179675588,3,0.375,1,2,Balanced
4.390426236232352,4.136621688730001,5.95294487744762,3.547274101843899,0.8478610171684087,35.12340988985881,2,0.25,0,0,Balanced
3.6696338175783145,3.290201991917498,5.899726843537279,2.253042234082866,1.0656616954114548,29.357070540626516,1,0.125,2,0,Impulsive
2.7702413495485407,2.561319801333037,5.630438367205084,1.0648686576924198,1.369784215987073,22.161930796388326,1,0.125,5,0,Impulsive
5.0857714047939275,3.443653260152735,10.485435807656836,2.011207932030541,2.965410386866705,40.68617123835142,3,0.375,3,3,Analytical
4.237486607259237,3.893409521939094,8.470750847523272,0.7,2.134563398788047,33.8998928580739,3,0.375,2,1,Impulsive
4.792423291405438,3.991500186345613,8.779511650702919,1.9501420221865087,2.4314842174397246,38.3393863312435,3,0.375,2,2,Balanced
5.1011194131533575,5.138753632190621,9.755852796024307,1.991606646401813,2.0786300495266175,40.80895530522686,5,0.625,1,1,Balanced
5.47091218513253,5.044269699652371,7.834785413474986,3.670886953327049,1.3245684102905444,43.76729748106024,4,0.5,0,3,Analytical
4.347211244940143,4.952124751886428,5.733749889714113,1.2110299770739505,1.4159501035235111,34.77768995952115,4,0.5,1,0,Balanced
